16:17:01.749 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:17:09.770 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6821ea29, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@338494fa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@505a9d7c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@758c83d8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@129b4fe2]
16:17:09.905 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
16:17:09.907 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@fd8294b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5974109, org.springframework.test.context.support.DirtiesContextTestExecutionListener@27305e6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1ef3efa8, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@502f1f4c]
16:17:09.945 [Thread-1] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@49c43f4e: startup date [Fri Apr 13 16:17:03 CST 2018]; root of context hierarchy
16:17:09.966 [Thread-1] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:31:24.305 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:31:24.405 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60285225, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7113b13f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@45820e51, org.springframework.test.context.transaction.TransactionalTestExecutionListener@42d8062c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6043cd28]
17:31:24.875 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-dao.xml]
17:31:25.206 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-service.xml]
17:31:25.820 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@4524411f: startup date [Fri Apr 13 17:31:25 CST 2018]; root of context hierarchy
17:31:27.104 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
17:31:28.298 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:31:33.654 [Thread-1] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@4524411f: startup date [Fri Apr 13 17:31:25 CST 2018]; root of context hierarchy
17:31:33.677 [Thread-1] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
17:32:57.495 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
17:32:57.665 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@60285225, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@7113b13f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@45820e51, org.springframework.test.context.transaction.TransactionalTestExecutionListener@42d8062c, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6043cd28]
17:32:58.053 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-dao.xml]
17:32:58.331 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [spring/applicationContext-service.xml]
17:32:58.772 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@4524411f: startup date [Fri Apr 13 17:32:58 CST 2018]; root of context hierarchy
17:32:59.624 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
17:33:00.881 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:33:05.963 [Thread-1] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@4524411f: startup date [Fri Apr 13 17:32:58 CST 2018]; root of context hierarchy
17:33:06.041 [Thread-1] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
